year, obs,mod,Models
9-Jan,3.33,23.33,RNN
9-Feb,5.19,10,RNN
9-Mar,15.19,6.67,RNN
9-Apr,5.19,15.8,RNN
9-May,10,0,RNN
9-Jun,19.63,0,RNN
9-Jul,24.81,12.35,RNN
9-Aug,12.96,6.67,RNN
9-Sep,8.89,20,RNN
9-Oct,3.33,0,RNN
9-Nov,3.33,16.67,RNN
9-Dec,3.33,16.67,RNN
10-Jan,0,15.77,RNN
10-Feb,1.79,12.9,RNN
10-Mar,2.87,6.45,RNN
10-Apr,17.56,7.65,RNN
10-May,3.94,9.56,RNN
10-Jun,16.13,2.15,RNN
10-Jul,18.64,3.23,RNN
10-Aug,14.34,6.45,RNN
10-Sep,9.68,12.9,RNN
10-Oct,1.79,19.35,RNN
10-Nov,1.79,15.17,RNN
10-Dec,0,0,RNN
11-Jan,3.23,0,RNN
11-Feb,5.02,7.65,RNN
11-Mar,10.04,0,RNN
11-Apr,0,0,RNN
11-May,16.13,22.46,RNN
11-Jun,22.22,0,RNN
11-Jul,19,19.35,RNN
11-Aug,12.54,5.73,RNN
11-Sep,9.68,16.13,RNN
11-Oct,8.96,15.53,RNN
11-Nov,8.96,19.24,RNN
11-Dec,6.45,9.68,RNN
12-Jan,0,3.21,RNN
12-Feb,0,12.22,RNN
12-Mar,17.04,29.51,RNN
12-Apr,12.96,0,RNN
12-May,28.52,3.33,RNN
12-Jun,18.52,16.54,RNN
12-Jul,33.33,6.67,RNN
12-Aug,2.22,6.67,RNN
12-Sep,0,3.33,RNN
12-Oct,3.33,0,RNN
12-Nov,3.33,0,RNN
12-Dec,3.33,0,RNN
13-Jan,12.9,0,RNN
13-Feb,12.9,6.21,RNN
13-Mar,0,25.09,RNN
13-Apr,46.95,12.9,RNN
13-May,0,32.14,RNN
13-Jun,40.14,0,RNN
13-Jul,0,3.23,RNN
13-Aug,2.87,18.16,RNN
13-Sep,17.2,3.23,RNN
13-Oct,0,22.1,RNN
13-Nov,0,12.78,RNN
13-Dec,0,0,RNN
14-Jan,16.67,0,RNN
14-Feb,16.67,18.4,RNN
14-Mar,6.3,0,RNN
14-Apr,6.67,3.09,RNN
14-May,7.78,16.54,RNN
14-Jun,33.7,16.67,RNN
14-Jul,0,3.33,RNN
14-Aug,0,15.56,RNN
14-Sep,0,3.09,RNN
14-Oct,15.56,18.27,RNN
14-Nov,15.56,3.33,RNN
14-Dec,3.33,3.33,RNN
15-Jan,54.84,0,RNN
15-Feb,63.44,6.09,RNN
15-Mar,0,0,RNN
15-Apr,5.38,8.36,RNN
15-May,0,5.26,RNN
15-Jun,9.68,6.45,RNN
15-Jul,14.7,0,RNN
15-Aug,28.32,0,RNN
15-Sep,0,6.45,RNN
15-Oct,0,3.23,RNN
15-Nov,0,6.45,RNN
15-Dec,0,3.23,RNN
